Date,Case_Recovered_Rate,Total_Recovered
2022-03-18,93.286%,5549220
2021-09-06,93.16%,3850689
2022-02-05,93.126%,4172458
2022-03-17,93.001%,5523393
2021-09-05,92.943%,3837640
2021-09-04,92.818%,3827449
2022-03-16,92.696%,5494606
2021-09-03,92.634%,3813643
2022-02-06,92.617%,4183027
2021-09-02,92.432%,3798099
2022-03-15,92.355%,5462344
2022-02-07,92.273%,4191604
2021-05-18,92.221%,1612239
2021-05-19,92.214%,1616603
2021-05-20,92.192%,1621572
2021-05-21,92.151%,1626142
2021-05-17,92.12%,1606611
2021-09-01,92.116%,3776891
2022-03-14,92.112%,5434729
2021-06-03,92.078%,1691593
2021-06-04,92.077%,1697543
2021-05-22,92.065%,1629495
2021-05-16,92.016%,1600857
2021-05-23,91.991%,1633045
2021-05-24,91.98%,1638279
2021-06-05,91.978%,1701784
2021-05-15,91.961%,1597067
2021-08-31,91.948%,3760497
2021-05-25,91.932%,1642074
2021-06-06,91.915%,1705971
2021-06-08,91.871%,1717370
2021-06-07,91.87%,1711565
2021-05-26,91.851%,1645263
2021-05-14,91.847%,1592886
2021-06-09,91.806%,1723253
2021-08-30,91.774%,3743716
2021-05-13,91.767%,1589079
2022-02-08,91.752%,4202312
2021-05-27,91.749%,1649187
2021-05-28,91.749%,1654557
2021-06-02,91.742%,1680501
2021-05-29,91.715%,1659974
2021-05-12,91.707%,1584878
2021-05-11,91.681%,1580207
2021-06-01,91.676%,1674479
2021-06-10,91.674%,1728914
2021-05-30,91.628%,1663998
2021-05-31,91.624%,1669119
2021-05-10,91.623%,1574615
2021-06-11,91.611%,1735144
2022-03-13,91.596%,5395433
2021-06-12,91.53%,1740436
2021-05-09,91.515%,1568277
2021-05-07,91.477%,1558423
2021-05-06,91.47%,1552532
2021-05-08,91.47%,1563917
2021-05-05,91.454%,1547092
2021-08-29,91.421%,3724318
2021-05-04,91.388%,1541149
2022-03-12,91.336%,5369579
2021-06-13,91.301%,1745091
2021-05-03,91.289%,1535491
2021-05-01,91.278%,1526978
2021-04-30,91.265%,1522634
2021-05-02,91.262%,1530718
2021-04-29,91.254%,1517432
2021-06-14,91.232%,1751234
2021-04-28,91.212%,1511417
2021-04-27,91.21%,1506599
2021-08-28,91.183%,3707850
2021-06-15,91.178%,1757641
2021-04-24,91.174%,1492322
2021-04-26,91.171%,1501715
2021-04-25,91.161%,1496126
2022-02-09,91.126%,4216328
2021-04-23,91.124%,1487369
2021-04-22,91.065%,1481449
2021-04-21,91.046%,1475456
2021-06-16,91.031%,1763870
2022-03-11,90.993%,5335846
2021-08-27,90.95%,3689256
2021-04-20,90.915%,1468142
2021-06-17,90.819%,1771220
2021-04-19,90.811%,1461414
2021-08-26,90.757%,3669966
2022-02-10,90.722%,4234510
2021-04-18,90.695%,1455065
2021-04-17,90.65%,1450192
2021-06-18,90.621%,1779127
2022-03-10,90.573%,5296634
2021-04-16,90.563%,1444229
2021-04-15,90.493%,1438254
2021-04-14,90.444%,1431892
2021-04-13,90.404%,1426145
2021-08-25,90.39%,3639867
2021-06-19,90.384%,1786143
2021-04-12,90.328%,1419796
2022-02-11,90.277%,4250277
2021-04-11,90.269%,1414507
2022-03-09,90.246%,5258235
2021-04-09,90.214%,1405659
2021-04-10,90.173%,1409288
2021-04-08,90.115%,1399382
2022-03-08,90.109%,5226530
2021-06-20,90.081%,1792528
2020-04-16,9.935%,548
2021-08-24,89.97%,3606164
2021-04-07,89.942%,1391742
2022-02-12,89.914%,4282847
2021-06-21,89.888%,1801761
2021-04-06,89.851%,1385973
2021-04-05,89.838%,1381677
2021-06-22,89.694%,1810136
2021-04-04,89.677%,1375877
2022-02-13,89.641%,4309763
2022-03-07,89.624%,5171402
2021-08-23,89.522%,3571082
2021-04-03,89.44%,1366214
2021-06-23,89.372%,1817303
2021-04-02,89.354%,1361017
2021-04-01,89.309%,1355578
2022-02-14,89.241%,4323101
2021-03-31,89.192%,1348330
2021-03-30,89.17%,1342695
2021-08-22,89.116%,3546324
2022-03-06,89.108%,5122602
2021-03-29,89.056%,1336818
2021-03-28,88.992%,1331400
2021-03-27,88.949%,1327121
2021-03-26,88.931%,1322878
2021-06-24,88.924%,1826504
2021-03-24,88.898%,1312543
2021-03-25,88.846%,1317199
2021-08-21,88.783%,3522048
2022-02-15,88.748%,4349848
2021-03-23,88.696%,1304921
2022-03-05,88.638%,5073522
2021-08-20,88.576%,3499037
2021-03-22,88.542%,1297967
2021-06-25,88.528%,1835061
2021-03-21,88.399%,1290790
2021-08-19,88.363%,3472915
2022-03-04,88.288%,5026853
2021-03-20,88.249%,1284725
2021-03-19,88.196%,1278965
2021-03-18,88.164%,1272958
2021-03-17,88.13%,1266673
2021-08-18,88.119%,3443903
2022-02-16,88.103%,4375234
2021-06-26,87.989%,1842457
2022-03-03,87.984%,4986391
2021-03-16,87.92%,1257663
2022-03-02,87.818%,4944237
2022-02-17,87.76%,4414306
2021-03-15,87.713%,1249947
2021-08-17,87.71%,3414109
2022-03-01,87.693%,4901302
2021-03-14,87.577%,1243117
2021-06-27,87.481%,1850481
2021-03-13,87.47%,1237470
2022-02-18,87.378%,4447210
2022-02-28,87.366%,4861415
2021-08-16,87.348%,3381884
2021-03-12,87.329%,1231454
2021-03-11,87.24%,1224603
2021-06-28,87.077%,1859961
2022-02-21,87.056%,4554711
2022-02-19,87.044%,4481909
2021-03-10,86.976%,1216433
2022-02-27,86.967%,4817423
