Date,Case_Recovered_Rate,Total_Recovered
2020-05-21,23.996%,4838
2020-05-20,23.842%,4575
2020-05-17,23.575%,4129
2020-05-15,23.054%,3803
2020-05-16,22.972%,3911
2020-05-14,21.979%,3518
2020-05-13,21.292%,3287
2020-05-12,20.768%,3063
2020-05-11,20.196%,2881
2020-03-13,2.899%,2
2020-05-10,19.227%,2698
2020-05-09,19.106%,2607
2020-05-08,19.021%,2494
2020-05-07,18.637%,2381
2020-05-06,18.628%,2317
2020-05-05,18.201%,2197
2020-05-04,16.864%,1954
2020-05-03,16.762%,1876
2020-05-02,15.356%,1665
2020-05-01,15.079%,1591
2020-04-30,15.042%,1522
2020-04-29,14.236%,1391
2020-04-28,13.185%,1254
2020-04-27,12.654%,1151
2020-04-26,12.463%,1107
2020-04-23,12.347%,960
2020-04-22,12.308%,913
2020-04-24,12.203%,1002
2020-04-25,12.106%,1042
2020-04-21,11.801%,842
2020-04-20,11.05%,747
2020-04-19,10.433%,686
2020-04-17,10.248%,607
2020-04-18,10.099%,631
2020-03-02,0%,0
2020-03-03,0%,0
2020-03-04,0%,0
2020-03-05,0%,0
2020-03-06,0%,0
2020-03-07,0%,0
2020-03-08,0%,0
2020-03-09,0%,0
